Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
95386,-37.911892,145.035728,28 Lees Street,Mckinnon,7550000,house,2012,2,1,1,SC_046,3082,19940,286,37,0,hospital_126,1908,S_015,3250
88131,-37.937403,145.059162,2 Ivy Court,Moorabbin,9672000,house,2016,2,2,2,SC_046,1843,19872,1952,41,0,hospital_159,1829,S_023,2473
89846,-37.969043,145.055446,10/250 Charman Road,Cheltenham,7381000,house,2014,2,1,1,SC_079,2550,19866,278,37,0,hospital_082,962,S_023,1067
70538,-37.879534,145.106548,143 Power Avenue,Chadstone,8330000,house,2012,3,1,1,SC_042,1344,19840,820,28,0,hospital_166,2196,S_026,2119
20611,-37.765768,144.958108,16 Talbot Street,Brunswick,12360000,house,2015,4,1,1,SC_030,3780,19968,253,21,0,hospital_011,1244,S_025,3238
59674,-37.821191999999996,145.209108,23 Purches Street,Mitcham,13965000,house,2014,5,2,2,SC_032,1971,19901,412,42,0,hospital_010,1781,S_040,2010
33937,-37.700719,144.982268,16 Florence Close,Reservoir,8520000,house,2015,4,3,3,SC_030,4523,19961,2060,35,0,hospital_139,2335,S_030,3217
70968,-37.851402,145.230554,1 Neston Close,Wantirna,3464000,house,2011,3,1,2,SC_032,4305,19871,2849,46,0,hospital_179,344,S_040,4394
72694,-37.8647255,145.2585764,1 Sedgwick Road,Boronia,8370000,house,2011,3,2,2,SC_049,5473,19869,2318,53,0,hospital_002,1332,S_024,2310
94596,-37.908556,145.03371,101 Wheatley Road,Mckinnon,24570000,house,2015,4,2,2,SC_041,3439,19940,448,37,0,hospital_126,1539,S_015,3062
18875,-37.666057,144.940561,425 Barry Road,Dallas,4305000,house,2010,3,1,0,SC_072,2348,19960,544,39,0,hospital_104,2465,S_004,4563
36060,-37.681929,145.038042,8 Leslie Street,Thomastown,5920000,house,2013,3,1,2,SC_062,5369,20007,2101,38,0,hospital_041,2437,S_020,6022
13924,-37.752773,144.896553,17 Cooper Street,Essendon,17810000,house,2016,3,1,2,SC_082,2237,20037,1766,21,0,hospital_184,1386,S_049,2363
17408,-37.702735,144.9062,53 Centre Way,Glenroy,4200000,house,2015,4,2,2,SC_010,2113,20032,991,33,0,hospital_184,4405,S_004,2905
12924,-37.708847,144.763943,3 Tussock Crescent,Sydenham,4275000,house,2010,4,2,2,SC_048,3333,20000,1245,39,0,hospital_057,7270,S_049,13152
83131,-37.883436,145.240813,27 Belindavale Drive,Knoxfield,9280000,house,2010,4,2,2,SC_073,5448,19869,4605,53,0,hospital_002,3934,S_027,1846
12950,-37.7071863,144.7735864,30 Parkview Terrace,Sydenham,9920000,house,2010,3,2,2,SC_107,3725,20000,676,39,0,hospital_057,6941,S_049,12556
12842,-37.720926,144.771069,29 Brampton Circuit,Delahey,3864000,house,2010,3,2,1,SC_048,2927,20001,2202,36,0,hospital_057,5832,S_049,11918
14115,-37.75334,144.925332,235 Pascoe Vale Road,Essendon,8000000,house,2011,4,2,2,SC_082,2769,20036,784,24,0,hospital_128,1681,S_025,1642
9321,-37.845987,144.723216,15 Gascoyne Way,Truganina,4950000,house,2016,4,2,2,SC_053,1662,46468,3406,33,0,hospital_073,5185,S_007,2950
70539,-37.880124,145.106869,149 Power Avenue,Chadstone,7380000,house,2014,3,1,0,SC_042,1385,19840,859,28,0,hospital_166,2132,S_026,2119
58917,-37.814971,145.179333,35 Nicholson Street,Nunawading,10425000,house,2011,3,1,1,SC_088,485,19899,739,37,0,hospital_010,1393,S_018,3358
46656,-37.71617,145.139889,15 Silver Street,Eltham,9144000,house,2016,3,1,0,SC_051,5044,19987,757,44,0,hospital_075,3238,S_020,3732
44320,-37.71165466,145.0992584,15 Kell Street,Greensborough,5288000,house,2009,3,1,3,SC_017,5606,19985,1167,38,0,hospital_075,931,S_020,778
82400,-37.989465,145.234953,75 Chestnut Road,Doveton,2384000,house,2011,3,1,1,SC_112,1765,19888,2214,54,0,hospital_119,1483,S_047,9733
7797,-37.78158569,144.8061981,23 McLaughlin Street,Ardeer,3900000,house,2009,3,1,1,SC_102,2410,20004,1686,28,0,hospital_174,2356,S_049,7366
93676,-38.021391,145.108074,79 Larnook Crescent,Aspendale,6750000,house,2015,4,1,2,SC_003,5838,19862,831,46,0,hospital_001,4614,S_003,4960
11867,-37.71279526,144.8209839,49 Parramatta Road,Keilor,4632000,house,2009,4,2,1,SC_107,2010,20001,3020,36,0,hospital_057,5340,S_049,9017
35022,-37.71295,145.003881,47 Byfield Street,Reservoir,6420000,house,2015,3,1,2,SC_103,2970,20010,517,32,0,hospital_139,726,S_030,2576
908,-37.804961,144.885292,35 Williamstown Road,Seddon,6420000,house,2011,2,1,1,SC_043,2441,20023,351,20,0,hospital_056,1319,S_049,3553
30389,-37.776684,145.010276,75 Victoria Road,Northcote,19740000,house,2013,4,3,2,SC_001,2940,19929,331,16,0,hospital_035,1548,S_039,3711
2692,-37.815159,144.893425,11 Castlemaine Street,Yarraville,12000000,house,2013,3,1,1,SC_043,3689,19996,317,15,0,hospital_056,2533,S_049,4685
65338,-37.794756,145.305197,38 Kiloran Avenue,Kilsyth,8752000,house,2015,3,2,2,SC_022,2004,19877,1282,55,0,hospital_164,4597,S_042,3144
39015,-37.762567,145.033826,74 Stanley Street,Ivanhoe,13760000,house,2015,3,1,2,SC_001,920,19933,1240,23,0,hospital_039,283,S_039,4815
74484,-37.892478,145.070302,10 Toward Street,Murrumbeena,10231000,house,2014,2,1,2,SC_087,1090,19919,361,30,0,hospital_108,2946,S_015,1332
87208,-37.898417,145.00542,9 Rose St,Brighton,10560000,house,2012,3,1,0,SC_015,3958,19953,221,19,0,hospital_013,723,S_009,2061
84922,-37.875841,144.986715,38 Southey Street,Elwood,17030000,house,2011,4,1,1,SC_015,955,19955,749,15,0,hospital_009,1589,S_017,1076
38798,-37.760381,145.031538,3 Malta Street,Ivanhoe,9920000,house,2010,2,1,1,SC_001,1232,19933,1547,23,0,hospital_039,339,S_039,5052
82033,-37.996791,145.240439,28 Fugosia Street,Doveton,2565000,house,2012,3,1,1,SC_077,1162,19888,2799,54,0,hospital_119,2288,S_045,10020
85644,-37.892965,145.013296,421 Kooyong Road,Elsternwick,5070000,house,2016,4,3,2,SC_023,3199,19953,903,19,0,hospital_013,372,S_009,2924
9514,-37.850768,144.727614,4 Champion Court,Truganina,5880000,house,2016,4,2,2,SC_053,2011,46468,2749,33,0,hospital_073,5152,S_007,2293
88363,-37.94895554,145.0338745,1/38 Rose Street,Highett,7540000,house,2009,3,1,1,SC_079,632,19872,704,41,0,hospital_110,1789,S_023,2253
139,-37.7961731,144.8949585,10 Central Avenue,Footscray,10000000,house,2008,3,1,3,SC_011,2414,20024,769,18,0,hospital_003,675,S_049,2606
90301,-37.97394,145.067606,21 Oak Avenue,Cheltenham,13280000,house,2016,4,2,1,SC_003,1909,19865,908,39,0,hospital_133,828,S_011,962
68793,-37.857562,145.035127,13 Fraser Street,Malvern,5855000,house,2010,4,2,0,SC_023,2183,19911,1082,15,0,hospital_157,611,S_013,958
30354,-37.76574,145.002663,7/49 Dennis Street,Northcote,2727000,house,2015,1,1,1,SC_103,2912,20015,526,21,0,hospital_035,554,S_030,4360
28314,-37.79504,144.977337,47 Leicester Street,Fitzroy,21930000,house,2014,3,2,1,SC_008,1984,19975,1574,11,0,hospital_188,1162,S_044,2175
77975,-37.9284896,145.1933416,36 Gertrude Street,Mulgrave,10023000,house,2013,3,2,2,SC_073,2558,19891,4111,46,0,hospital_161,2069,S_047,2126
10028,-37.785514,144.922373,129 Edinburgh Street,Flemington,4770000,house,2010,2,1,0,SC_011,650,20040,615,15,0,hospital_007,1226,S_025,1979
40281,-37.698096,145.072143,3 Carawa Court,Bundoora,6256000,house,2016,3,2,2,SC_062,5299,19984,1761,34,0,hospital_041,1096,S_020,2567
50729,-37.79001,145.120343,11 Ada Street,Doncaster,7245000,house,2012,4,2,2,SC_091,594,20042,3253,31,0,hospital_194,1910,S_046,1913
73249,-37.8619194,145.2771149,200 Boronia Road,Boronia,3289000,house,2006,2,1,1,SC_049,4534,19869,659,53,0,hospital_049,497,S_024,657
51296,-37.7780304,145.1257019,340 George Street,Doncaster,3471000,house,2007,4,2,2,SC_091,1008,20042,4601,31,0,hospital_194,1061,S_046,1143
78102,-37.934608,145.173397,47 Denver Crescent,Mulgrave,4275000,house,2012,3,1,1,SC_073,3343,19913,2412,44,0,hospital_161,3516,S_047,3137
61378,-37.782878,145.254528,16 Tandarra Drive,Ringwood,9200000,house,2016,4,2,2,SC_022,3092,19878,2686,51,0,hospital_164,2771,S_040,3952
29426,-37.775688,145.002426,14 Waterloo Road,Northcote,12330000,house,2014,3,1,2,SC_001,3570,19928,617,14,0,hospital_035,1500,S_039,4182
13471,-37.69205093,144.7651215,8 Buckingham Street,Sydenham,3120000,house,2009,3,2,0,SC_048,5006,20000,1288,39,0,hospital_057,8772,S_049,14177
12346,-37.716428,144.76968,15 Aitken Drive,Delahey,6640000,house,2015,4,2,2,SC_048,3088,20000,1749,39,0,hospital_057,6295,S_049,12276
50621,-37.75237,145.125081,7 Dellas Avenue,Templestowe,6228000,house,2013,3,1,2,SC_009,3272,19986,4139,40,0,hospital_193,2470,S_046,2553
59351,-37.812762,145.191349,12 Fellows Street,Mitcham,9490000,house,2011,3,2,1,SC_088,1267,19900,587,40,0,hospital_010,353,S_040,3291
77272,-37.940609,145.106636,59 Leonard Close,Clarinda,4686000,house,2011,5,3,1,SC_003,3731,19915,2152,39,0,hospital_076,2428,S_010,2893
87034,-37.901736,145.006261,7 Maroona Road,Brighton,21190000,house,2015,3,2,2,SC_023,4292,19952,476,20,0,hospital_013,859,S_009,1769
94332,-37.957923,145.076861,24 Pebble Beach Place,Heatherton,7788000,house,2012,4,3,2,SC_003,1819,19866,2185,37,0,hospital_109,551,S_023,1855
30468,-37.782118,144.994203,8B Cunningham Street,Northcote,13640000,house,2015,3,2,2,SC_008,3943,20019,200,17,0,hospital_035,2452,S_039,4166
1457,-37.793304,144.883848,8 Stafford  Street,Footscray,9564000,house,2013,4,2,1,SC_043,1965,20023,956,20,0,hospital_056,207,S_049,2288
19505,-37.662345,144.936143,9 Hilgay Street,Coolaroo,3245000,house,2011,3,1,0,SC_072,1781,44817,901,40,0,hospital_104,1898,S_004,4979
19299,-37.688902,144.948735,99 Camp Road,Broadmeadows,5440000,house,2012,3,1,1,SC_030,4844,19961,1586,35,0,hospital_104,4931,S_004,2201
70490,-37.88365555,145.0967255,12 Atkinson Street,Chadstone,9520000,house,2009,3,1,3,SC_042,839,19839,1160,26,0,hospital_166,1918,S_026,1147
3406,-37.811902,144.890474,34 Tongue Street,Yarraville,15210000,house,2011,4,2,1,SC_043,3258,19996,442,15,0,hospital_056,2123,S_049,4310
45646,-37.67529297,145.1235504,14 Josephine Court,Plenty,11120000,house,2008,4,2,2,SC_051,3193,19988,3088,49,0,hospital_075,3669,S_020,3872
65893,-37.77822876,145.3103638,18 DUNOON Street,Mooroolbark,4298000,house,2009,3,1,2,SC_084,2257,19877,748,55,0,hospital_113,4307,S_042,5025
73241,-37.8505,145.293963,20 Market Street,Boronia,5364000,house,2012,4,2,2,SC_049,5046,19869,1391,53,0,hospital_049,1671,S_024,1493
81434,-37.98373,145.22347,61 King Street,Dandenong,9191000,house,2010,4,1,3,SC_112,827,19888,1392,54,0,hospital_119,425,S_047,8765
27585,-37.577685,144.908708,7 Highclere Street,Craigieburn,3213000,house,2011,3,2,2,SC_005,1092,40221,4067,46,0,hospital_104,8193,S_005,3437
66852,-37.757485,145.36299,1/9 Helena Road,Lilydale,3420000,house,2010,3,2,1,SC_084,4318,19876,1362,61,0,hospital_151,780,S_042,9042
20873,-37.772513000000004,144.963577,25 Charles Street,Brunswick,11917000,house,2011,3,1,1,SC_011,4316,19969,509,20,0,hospital_102,1857,S_025,3749
45477,-37.685411,145.104792,79 Corowa Crescent,Greensborough,9792000,house,2015,4,1,0,SC_062,4122,19985,2086,38,0,hospital_075,2197,S_020,2187
45274,-37.690395,145.097534,55 Booyan Crescent,Greensborough,11480000,house,2010,3,1,1,SC_062,4438,19985,1780,38,0,hospital_075,1797,S_020,1607
57218,-37.82286453,145.0755005,2B Victoria Avenue,Canterbury,30750000,house,2008,4,3,2,SC_099,1544,19893,535,29,0,hospital_064,2865,S_039,4359
45945,-37.720995,145.123603,2/51 Looker Road,Montmorency,3048000,house,2011,3,2,2,SC_009,5700,19986,660,40,0,hospital_075,2358,S_020,2755
30876,-37.75626373,144.9862518,183A Smith Street,Thornbury,4600000,house,2009,2,1,0,SC_103,2314,20014,1093,23,0,hospital_144,1272,S_030,2978
25170,-37.57439041,144.9252319,112 Royal Terrace,Craigieburn,3303000,house,2008,5,2,2,SC_005,422,40221,3445,46,0,hospital_104,8505,S_005,2840
7000,-37.781657,144.817731,77 King Edward Avenue,Albion,7520000,house,2011,5,2,3,SC_102,1396,20004,758,28,0,hospital_174,1374,S_049,6361
73317,-37.860445,145.256866,23 Lemal Avenue,Boronia,3600000,house,2011,3,2,2,SC_032,5854,19870,2307,50,0,hospital_002,1138,S_024,2440
50348,-37.770153,145.085886,63 Rocklea Road,Bulleen,8952000,house,2010,4,2,3,SC_009,730,19935,2653,26,0,hospital_193,2602,S_046,2503
43780,-37.712641,145.090403,41 Orana Drive,Watsonia,8016000,house,2013,3,1,1,SC_017,5172,19984,611,34,0,hospital_075,1598,S_020,1227
41703,-37.755293,145.065403,17 Cartmell Street,Heidelberg,10395000,house,2013,3,1,1,SC_017,280,19935,460,26,0,hospital_066,319,S_046,4736
13812,-37.755372,144.91181,13 McPhail Street,Essendon,11130000,house,2010,2,2,1,SC_082,2443,20037,393,21,0,hospital_128,1284,S_025,1616
79480,-38.001839,145.171871,1 Monrie Street,Keysborough,8580000,house,2016,4,2,2,SC_057,1023,19889,3145,51,0,hospital_096,917,S_003,8540
65137,-37.815024,145.31686,141 Liverpool Road,Kilsyth,7472000,house,2016,3,1,2,SC_022,3460,19877,3393,55,0,hospital_164,5449,S_042,1571
71738,-37.855609,145.234153,68 Amesbury Avenue,Wantirna,6020000,house,2013,3,2,2,SC_032,4794,19871,3172,46,0,hospital_179,900,S_024,4483
91056,-37.966684,145.079816,9 Craig Court,Cheltenham,9350000,house,2013,5,2,2,SC_003,951,19865,2123,39,0,hospital_109,634,S_003,1950
61676,-37.80485,145.240146,28 Leonard Street,Ringwood,10370000,house,2010,4,2,2,SC_032,1329,19879,1187,47,0,hospital_105,746,S_040,1276
47023,-37.70344,145.163699,3/1316 Main Road,Eltham,5304000,house,2010,3,2,2,SC_051,3333,19987,1795,44,0,hospital_075,5097,S_020,5606
53066,-37.81175232,144.9937744,33 Shelley Street,Richmond,4365000,house,2008,2,1,0,SC_068,1939,19977,188,8,0,hospital_042,576,S_033,2446
5586,-37.791668,144.855801,2 Garden Drive,Braybrook,6570000,house,2014,4,2,2,SC_043,549,20022,1052,22,0,hospital_174,2572,S_049,3589
21727,-37.733661,144.960044,1/81 Gaffney Street,Coburg,7350000,house,2010,2,1,1,SC_030,884,19964,247,30,0,hospital_084,2279,S_030,2119
67284,-37.76037216,145.3586426,26 Norris Drive,Lilydale,3600000,house,2008,1,2,0,SC_084,3942,19876,1103,61,0,hospital_113,383,S_042,8558
12590,-37.7234,144.778414,2/1 Masefield Court,Delahey,3835000,house,2014,3,1,2,SC_107,2589,20001,1500,36,0,hospital_057,5209,S_049,11220
40331,-37.696279,145.078732,3 Sussex Street,Bundoora,4983000,house,2011,4,2,2,SC_062,5001,19984,1694,34,0,hospital_041,1490,S_020,2099
38670,-37.76924133,145.0392304,17 Kenilworth Parade,Ivanhoe,11790000,house,2009,4,1,1,SC_001,269,19933,546,23,0,hospital_039,990,S_039,4131
72392,-37.85596466,145.2544861,401 Boronia Road,Bayswater,4060000,house,2007,3,1,2,SC_032,5313,19870,1988,50,0,hospital_002,1205,S_024,2721
45112,-37.69888687,145.1279907,44 Tallow Wood Drive,Greensborough,7575000,house,2008,3,2,2,SC_051,3962,19985,1828,38,0,hospital_075,2069,S_020,2543
86028,-37.905111,144.995911,114B Bay Street,Brighton,15150000,house,2014,2,2,1,SC_015,4269,19952,588,20,0,hospital_198,811,S_009,1133
91752,-37.985875,145.046336,6 Powys Drive,Beaumaris,8370000,house,2014,3,1,3,SC_003,4093,19865,1711,39,0,hospital_055,826,S_011,1491
65688,-37.794301,145.320696,111 Cambridge Road,Mooroolbark,6860000,house,2016,3,1,2,SC_022,3351,19877,1290,55,0,hospital_113,4684,S_042,3581
43894,-37.705587,145.077554,64 Princes Street,Watsonia,4590000,house,2012,3,1,3,SC_047,5546,19984,812,34,0,hospital_037,1835,S_020,1985
18107,-37.674104,144.930791,124 Blair Street,Dallas,4550000,house,2010,3,1,1,SC_072,2707,20030,1400,37,0,hospital_104,2761,S_004,3731
80646,-37.984859,145.225469,1/17 Grant Street,Dandenong,5980000,house,2015,3,1,0,SC_112,946,19888,1494,54,0,hospital_119,571,S_047,8943
64930,-37.785283,145.300623,84 Mount View Parade,Croydon,5460000,house,2014,3,1,1,SC_022,2178,19877,1038,55,0,hospital_164,4685,S_042,4188
58005,-37.822753,145.150736,32 Gardenia Street,Blackburn,16940000,house,2014,4,3,2,SC_002,1862,19898,305,35,0,hospital_060,1230,S_018,1010
26587,-37.57270813,144.929657,34 EAGLEVIEW WAY,Craigieburn,6304000,house,2008,4,3,2,SC_005,838,40221,3457,46,0,hospital_104,8720,S_005,2884
90975,-37.968065,145.072012,7 Shelford Court,Cheltenham,8190000,house,2011,3,1,2,SC_003,1535,19866,1540,37,0,hospital_109,655,S_023,1714
72649,-37.856275,145.256534,98 Sasses Avenue,Bayswater,9842000,house,2016,3,1,2,SC_032,5423,19870,1914,50,0,hospital_002,1028,S_024,2537
37212,-37.628091,145.037345,3 Axebridge Circuit,Epping,5665000,house,2011,3,2,2,SC_062,4991,20005,2779,43,0,hospital_053,3196,S_005,9358
51886,-37.801412,145.18181,3/1 William Street,Donvale,7692000,house,2015,2,1,1,SC_088,2004,19900,2052,40,0,hospital_070,1412,S_040,4292
17173,-37.708817,144.927659,4 Acacia Street,Glenroy,7845000,house,2010,3,2,1,SC_030,3288,20032,1035,33,0,hospital_184,4225,S_004,996
73156,-37.847249,145.302782,2 Jarrah Court,Boronia,4800000,house,2013,3,2,3,SC_049,5272,19869,2185,53,0,hospital_049,2456,S_024,2267
75450,-37.90104294,145.0744171,77a Dalny Road,Murrumbeena,7150000,house,2008,3,2,1,SC_087,1540,19918,742,32,0,hospital_159,2441,S_026,1783
90326,-37.970799,145.064434,22 Wallingford Street,Cheltenham,9130000,house,2014,5,2,1,SC_003,2162,19866,982,37,0,hospital_133,1189,S_011,1211
68516,-37.86040115,145.0185242,4 Armadale Street,Armadale,4585000,house,2009,5,3,2,SC_038,2385,19945,445,24,0,hospital_092,931,S_013,807
36932,-37.65982819,145.0270386,17 Lionheart Court,Epping,5984000,house,2009,3,2,1,SC_062,5232,20005,872,43,0,hospital_053,1307,S_020,8144
1437,-37.801709,144.891046,8 Errol Street,Footscray,8650000,house,2015,4,2,1,SC_043,2748,20024,96,18,0,hospital_056,1046,S_049,3178
24586,-37.696106,144.969205,79 Anderson Road,Fawkner,4480000,house,2011,3,1,2,SC_030,4376,19961,1043,35,0,hospital_139,3488,S_004,2946
81110,-37.998780000000004,145.19933,3 Desa Terrace,Dandenong,5150000,house,2014,3,2,2,SC_117,1764,19888,1339,54,0,hospital_119,2297,S_047,9963
34249,-37.714298,144.981623,20 Kelverne Street,Reservoir,7310000,house,2014,3,1,1,SC_103,3336,19962,1856,33,0,hospital_139,1492,S_030,1712
39795,-37.710449,145.05629,16 Springwood View,Bundoora,13600000,house,2015,4,3,2,SC_047,3875,19983,2069,31,0,hospital_037,971,S_020,3908
16219,-37.70848,144.911345,1/33 Gladstone Parade,Glenroy,6896000,house,2011,3,1,2,SC_010,2235,20032,679,33,0,hospital_184,3805,S_004,2418
32448,-37.737961,145.005382,260A Murray Road,Preston,4408000,house,2010,2,2,1,SC_103,352,20012,435,27,0,hospital_139,2360,S_030,2134
34551,-37.692817,144.983355,29 Wattlebird Crescent,Reservoir,4185000,house,2014,3,2,2,SC_030,5290,19961,2327,35,0,hospital_139,3044,S_030,4095
30978,-37.763273,145.002092,23 Darebin Road,Thornbury,3184000,house,2012,3,1,0,SC_103,2637,20015,453,21,0,hospital_035,508,S_030,4088
30207,-37.771713,144.995178,52 Herbert Street,Northcote,4888000,house,2011,3,1,0,SC_103,3626,20016,206,20,0,hospital_035,1484,S_030,4798
86331,-37.917863,144.98821,2/124 Esplanade,Brighton,28560000,house,2016,3,2,2,SC_046,5018,19951,773,22,0,hospital_156,739,S_009,721
79388,-37.95259,145.158135,8 Ruby Place,Springvale,9225000,house,2015,4,3,2,SC_057,4663,19913,535,44,0,hospital_124,2727,S_047,5537
23615,-37.642068,144.903107,38 Adderley Drive,Greenvale,10710000,house,2010,4,2,2,SC_075,1883,40220,2879,42,0,hospital_104,1803,S_005,5841
14174,-37.750788,144.893222,27 Bradshaw Street,Essendon,7692000,house,2013,2,1,1,SC_082,2163,20037,2104,21,0,hospital_184,1408,S_049,2519
62095,-37.806025,145.23471,53-55 Oliver Street,Ringwood,15130000,house,2013,4,3,2,SC_032,911,19902,1208,44,0,hospital_105,930,S_040,843
112,-37.806401,144.895539,1 Medway Street,Seddon,16100000,house,2016,3,1,2,SC_011,3230,19997,290,14,0,hospital_003,1675,S_049,3737
40261,-37.68956,145.063598,29 Janet Crescent,Bundoora,5200000,house,2011,4,2,2,SC_062,4638,19984,2973,34,0,hospital_041,221,S_020,3627
22610,-37.748412,144.968904,32 Walsh Street,Coburg,7475000,house,2013,4,2,2,SC_030,2430,19965,834,28,0,hospital_144,934,S_030,2460
22226,-37.73730087,144.9755249,2 Kewarren Court,Coburg,5490000,house,2009,4,2,2,SC_030,2302,19964,1193,30,0,hospital_144,2160,S_030,1112
12551,-37.704404,144.766176,2 Farmhouse Court,Sydenham,3555000,house,2015,3,2,1,SC_048,3850,20000,794,39,0,hospital_057,7555,S_049,13267
75441,-37.899349,145.052632,74A Oakleigh Road,Carnegie,5400000,house,2012,2,1,1,SC_041,1709,19941,1222,36,0,hospital_159,2834,S_015,1340
92943,-37.983489,145.080572,2/54 Lower Dandenong Road,Parkdale,8160000,house,2013,2,1,2,SC_003,1565,19864,1131,41,0,hospital_001,1045,S_003,306
49519,-37.805406,145.078364,43 Yongala Street,Balwyn,13700000,house,2011,5,2,2,SC_099,2764,19893,2139,29,0,hospital_064,2669,S_039,4173
43467,-37.693264,145.086003,128 Macorna Street,Watsonia North,6100000,house,2014,3,1,1,SC_062,4629,19984,1979,34,0,hospital_041,2041,S_020,1776
67391,-37.7548,145.336624,36 Wilsons Lane,Lilydale,4140000,house,2012,4,2,2,SC_084,2031,19876,979,61,0,hospital_151,1771,S_042,8168
12313,-37.689945,144.761043,14 Chandos Street,Sydenham,2992000,house,2014,3,2,1,SC_048,5088,20000,1700,39,0,hospital_057,9155,S_049,14604
4863,-37.86851,144.819944,121A Blyth St,Altona,3800000,house,2012,3,1,0,SC_033,5220,19925,678,32,0,hospital_141,6330,S_007,6776
6628,-37.79376221,144.831955,33 Benjamin Street,Sunshine,4108000,house,2009,2,1,0,SC_102,1281,20021,587,26,0,hospital_174,1790,S_049,5535
45211,-37.684379,145.125736,5 Symon Crescent,Greensborough,7700000,house,2010,4,2,3,SC_051,3224,19985,2669,38,0,hospital_075,2898,S_020,3198
3411,-37.815057,144.891883,35 Castlemaine Street,Yarraville,5600000,house,2013,3,1,1,SC_043,3579,19996,193,15,0,hospital_056,2491,S_049,4665
34410,-37.692473,144.983932,24 Wattlebird Crescent,Reservoir,11175000,house,2014,4,3,2,SC_030,5350,19961,2389,35,0,hospital_139,3058,S_030,4133
74398,-37.88695,145.034607,8 Cadby Court,Caulfield,27200000,house,2010,4,3,3,SC_023,1400,19942,737,33,0,hospital_080,1703,S_015,1917
